protein1,protein2,combined_score
1673,1763,260
1673,1061,169
1673,200,559
1673,4331,281
1673,5068,219
1673,2045,235
1673,1691,404
1673,3999,175
1673,5221,167
1673,1843,212
1673,3945,315
1673,1067,463
1673,3384,281
1673,3271,300
1673,3802,972
1673,1288,234
1673,5160,578
1673,5872,280
1673,5854,221
1673,888,483
1673,833,332
1673,2712,322
1673,810,321
1673,1971,570
1673,3707,347
1673,4583,426
1673,1499,241
1673,3993,202
1673,3611,966
1673,4502,297
1673,703,315
1673,4023,562
1673,3510,263
1673,3524,217
1673,2622,411
1673,2968,812
1673,591,186
1673,4784,488
1673,2680,231
1673,1279,309
1673,4308,276
1673,4426,309
1673,3058,212
1673,2664,196
1673,1026,168
1673,384,368
1673,4930,347
1673,2537,242
1673,5730,296
1673,3035,963
1673,1998,487
1673,1052,348
1673,5379,315
1673,3717,483
1673,5215,220
1673,5574,716
1673,2824,924
1673,23,258
1673,4067,224
1673,1114,374
1673,1493,183
1673,4725,217
1673,5922,315
1673,660,300
1673,609,350
1673,3320,336
1673,3259,463
1673,4523,315
1673,5089,668
1673,251,195
1673,5309,315
1673,1614,315
1673,5313,223
1673,107,245
1673,4347,313
1673,426,508
1673,5392,213
1673,1593,546
1673,1976,350
1673,3462,315
1673,5720,331
1673,1719,198
1673,1524,284
1673,5867,197
1673,3862,222
1673,2328,176
1673,5084,277
1673,1381,183
1673,912,258
1673,2377,301
1673,2928,189
1673,2571,158
1673,1725,690
1673,1724,265
1673,629,177
1673,4645,350
1673,1698,544
1673,4614,658
1673,5804,313
1673,5685,188
1673,540,315
1673,3229,315
1673,3443,188
1673,4609,315
1673,3956,315
1673,4722,315
1673,310,809
1673,4351,315
1673,204,184
1673,3568,179
1673,4411,331
1673,2802,213
1673,5682,315
1673,2295,542
1673,5424,807
1673,536,641
1673,2163,232
1673,5109,528
1673,4193,315
1673,619,324
1673,2336,155
1673,3401,329
1673,1386,500
1673,3735,499
1673,5100,235
1673,1312,247
1673,922,235
1673,2658,678
1673,3463,499
1673,4997,338
1673,5833,223
1673,1905,507
1673,3310,196
1673,2166,479
1673,5721,315
1673,2909,315
1673,193,211
1673,4163,300
1673,155,191
1673,2381,198
1673,5810,315
1673,1098,760
1673,2428,463
1673,5839,349
1673,3656,350
1673,2115,606
1673,4250,350
1673,1304,188
1673,3839,345
1673,5719,298
1673,2090,499
1673,4200,153
1673,5609,223
1673,1650,342
1673,273,348
1673,3770,296
1673,3560,473
1673,2196,315
1673,5455,180
1673,177,305
1673,1363,344
1673,3453,218
1673,150,219
1673,5596,258
1673,819,504
1673,3070,175
1673,812,478
1673,3266,315
1673,4751,229
1673,3474,210
1673,1991,332
1673,412,286
1673,739,316
1673,5944,328
1673,2287,315
1673,3971,198
1673,2623,526
1673,47,218
1673,233,606
1673,1023,634
1673,579,187
1673,1082,488
1673,1776,352
1673,1652,211
1673,4399,493
1673,56,499
1673,4572,277
1673,683,186
1673,4882,621
1673,680,315
1673,1267,180
1673,847,171
1673,2782,205
1673,2247,549
1673,955,179
1673,1962,263
1673,258,281
1673,3007,250
1673,1809,363
1673,292,221
1673,3489,300
1673,5352,152
1673,5241,247
1673,1031,690
1673,4877,330
1673,34,242
1673,3240,300
1673,4488,189
1673,50,204
1673,4108,341
1673,4468,255
1673,4183,534
1673,185,167
1673,1342,350
1673,4083,167
1673,4295,245
1673,5264,511
1673,4675,151
1673,2117,184
1673,460,219
1673,4959,202
1673,400,258
1673,4410,373
1673,5848,400
1673,5928,672
1673,3268,164
1673,311,957
1673,5292,614
1673,4888,347
1673,2092,231
1673,4501,961
1673,5799,694
1673,5499,315
1673,744,242
1673,3382,499
1673,2896,222
1673,828,768
1673,1516,274
1673,2554,309
1673,4728,181
1673,4869,235
1673,2105,315
1673,3286,315
1673,1917,382
1673,5600,245
1673,4001,183
1673,5472,163
1673,3204,177
1673,5540,228
1673,4958,310
1673,4947,591
1673,4688,345
1673,4932,188
1673,5321,340
1673,3977,179
1673,4681,234
1673,4830,347
1673,451,315
1673,1442,315
1673,2202,280
1673,1260,656
1673,766,330
1673,238,426
1673,2289,152
1674,3194,877
1674,4985,282
1674,421,876
1674,2605,307
1674,2280,193
1674,5400,206
1674,1809,193
1674,3687,337
1674,2544,979
1674,5570,407
1674,3641,979
1674,5280,407
1674,3526,407
1674,768,269
1674,2597,876
1674,2040,407
1674,1101,181
1674,3744,980
1674,3616,263
1674,1955,415
1674,954,399
1674,5030,985
1674,2661,524
1674,5903,900
1674,5366,193
1674,1679,407
1674,1165,337
1674,5738,884
1674,3895,407
1674,3712,994
1674,2095,282
1674,5076,901
1674,898,735
1674,4038,228
1674,5571,307
1674,3607,900
1674,749,337
1674,4035,407
1674,4993,269
1674,5809,185
1674,4119,414
1674,649,228
1674,145,979
1674,2201,226
1674,56,273
1674,3110,345
1674,5396,983
1674,2001,861
1674,5811,877
1674,5844,181
1674,4370,270
1674,4308,159
1674,4796,327
1674,4665,196
1674,2165,185
1674,312,900
1674,5507,319
1674,4019,337
1674,3969,334
1674,75,900
1674,579,990
1674,5705,228
1674,4348,407
1674,1376,414
1674,876,987
1674,2419,407
1674,2993,324
1674,330,282
1674,5810,315
1674,474,426
1674,5395,407
1674,3950,315
1674,4620,336
1674,2136,414
1674,1712,169
1674,2732,407
1674,144,989
1674,1510,337
1674,2540,800
1674,3412,407
1674,5293,406
1674,261,847
1674,3069,850
1674,3819,228
1674,5123,204
1674,3104,228
1674,4201,274
1674,3360,228
1674,5862,873
1674,2859,900
1674,1345,351
1674,660,987
1674,495,900
1674,4373,205
1674,4916,909
1674,893,263
1674,1634,193
1674,990,928
1674,203,861
1674,5898,228
1674,4468,213
1674,5414,876
1674,4611,984
1674,563,370
1674,2604,337
1674,1319,238
1674,3344,230
1674,1629,228
1674,3214,407
1674,4730,355
1674,3690,228
1674,2257,335
1674,411,524
1674,2145,407
1674,2700,228
1674,3426,238
1674,5164,900
1674,1316,269
1674,1990,179
1674,1018,986
1674,691,311
1674,3107,193
1674,4931,998
1674,2824,407
1674,1665,861
1674,1908,177
1674,972,407
1674,5371,298
1674,5281,282
1674,5315,973
1674,780,206
1674,1620,407
1674,4626,204
1674,2523,928
1674,5580,524
1674,4678,367
1674,3802,260
1674,5192,181
1674,5276,196
1674,5233,193
1674,4277,993
1674,4320,262
1674,3818,987
1674,2030,315
1674,3222,407
1674,156,282
1674,3788,196
1674,1739,512
1674,1565,262
1674,2213,997
1674,3241,196
1674,5263,336
1674,2273,177
1674,1427,938
1674,3648,997
1674,1256,228
1674,4071,157
1674,4386,337
1674,4028,900
1674,3854,228
1674,5621,965
1674,1989,985
1674,5068,260
1674,4769,900
1674,3700,876
1674,3270,996
1674,5463,185
1674,3317,256
1674,2547,982
1674,1539,979
1674,3999,337
1674,3423,337
1674,4458,228
1674,5120,800
1674,4631,337
1674,5699,984
1674,5892,392
1674,3267,858
1674,5499,288
1674,5342,414
1674,1600,987
1674,1974,413
1674,1875,315
1674,4486,613
1674,4915,407
1674,4275,315
1674,1836,986
1674,4914,337
1674,4994,407
1674,4343,615
1674,5658,900
1674,1033,994
1674,2195,392
1674,5173,206
1674,1770,407
1674,376,177
1674,1490,263
1674,3825,205
1674,1630,156
1674,4978,294
1674,4924,206
1674,3588,315
1674,1499,260
1674,3611,260
1674,1227,228
1674,4645,407
1674,4502,260
1674,2747,407
1674,3532,720
1674,4843,876
1674,2509,987
1674,2254,228
1674,341,196
1674,4537,264
1674,4471,876
1674,3433,986
1674,1966,988
1674,4617,337
1674,5851,206
1674,2986,238
1674,836,228
1674,627,428
1674,901,193
1674,3707,238
1674,1558,193
1674,1933,984
1674,1378,227
1674,3005,858
1674,3070,337
1674,5904,448
1674,207,175
1674,4553,188
1674,4709,876
1674,2087,154
1674,2465,887
1674,5632,877
1674,307,267
1674,1838,919
1676,150,315
1676,1976,315
1676,5936,943
1676,3815,645
1679,2661,997
1679,1851,188
1679,5366,199
1679,1165,407
1679,1120,315
1679,5738,888
1679,3895,997
1679,2095,360
1679,5076,976
1679,4470,188
1679,5571,997
1679,3194,976
1679,4985,360
1679,421,976
1679,5730,179
1679,2605,360
1679,2280,852
1679,5400,412
1679,1809,552
1679,3687,997
1679,5570,888
1679,3526,997
1679,5280,997
1679,768,992
1679,2597,976
1679,2040,979
1679,1101,297
1679,954,997
1679,3616,888
1679,3787,800
1679,5844,275
1679,4308,686
1679,4370,997
1679,4536,320
1679,1062,315
1679,4796,315
1679,4665,171
1679,2165,916
1679,312,976
1679,4019,997
1679,3969,992
1679,2041,191
1679,4348,888
1679,876,976
1679,1441,371
1679,1376,997
1679,4035,888
1679,749,988
1679,4993,910
1679,5809,765
1679,4119,997
1679,2025,899
1679,3110,852
1679,2001,976
1679,5811,976
1679,3069,992
1679,4201,655
1679,5862,976
1679,2748,300
1679,2993,412
1679,2419,999
1679,5810,315
1679,330,360
1679,474,492
1679,5395,997
1679,4620,888
1679,2732,888
1679,2136,997
1679,1712,612
1679,144,976
1679,1510,407
1679,3412,997
1679,5293,997
1679,261,976
1679,2257,976
1679,5379,463
1679,411,997
1679,2145,888
1679,3426,274
1679,1316,910
1679,1651,997
1679,3107,293
1679,2824,976
1679,2321,173
1679,1665,976
1679,1908,686
1679,972,505
1679,4373,754
1679,893,317
1679,3149,183
1679,1634,290
1679,203,976
1679,4468,208
1679,5414,976
1679,3528,692
1679,563,371
1679,2604,407
1679,1319,976
1679,3214,839
1679,4730,407
1679,4566,169
1679,3818,976
1679,2030,307
1679,3222,999
1679,156,360
1679,3788,171
1679,1739,377
1679,1565,706
1679,3241,171
1679,1976,295
1679,3924,353
1679,5263,407
1679,2273,686
1679,191,997
1679,5281,360
1679,780,410
1679,1620,997
1679,5580,997
1679,3802,999
1679,5192,293
1679,5276,225
1679,2418,173
1679,2857,315
1679,5233,412
1679,2380,315
1679,4631,687
1679,518,208
1679,5892,997
1679,3267,976
1679,5342,888
1679,1600,976
1679,1875,315
1679,4486,996
1679,4915,505
1679,5310,315
1679,1497,829
1679,1427,888
1679,5094,600
1679,3648,414
1679,3960,405
1679,4386,715
1679,1989,976
1679,5621,992
1679,5068,282
1679,5463,948
1679,3700,976
1679,3270,407
1679,3317,654
1679,3999,988
1679,3423,687
1679,3825,948
1679,1490,317
1679,4978,366
1679,1658,485
1679,3588,483
1679,1499,282
1679,3611,724
1679,4645,988
1679,4502,282
1679,2747,997
1679,4843,976
1679,341,171
1679,4537,970
1679,4471,976
1679,3433,976
1679,3878,169
1679,1836,976
1679,3230,278
1679,4914,407
1679,4994,999
1679,4343,999
1679,1033,412
1679,2195,976
1679,2659,192
1679,1770,888
1679,1674,407
1679,3070,997
1679,255,208
1679,207,185
1679,5904,463
1679,2482,315
1679,4553,877
1679,2465,976
1679,4709,976
1679,5632,976
1679,307,972
1679,1838,992
1679,4617,976
1679,5851,412
1679,2986,274
1679,627,999
1679,1724,311
1679,901,199
1679,3024,262
1679,4582,177
1679,1558,290
1679,3707,274
1679,1933,976
1680,2622,189
1680,766,204
1680,3563,315
1680,1260,470
1680,3605,179
1680,4343,199
1680,1035,286
1680,2982,483
1680,3878,193
1680,5084,204
1680,888,295
1680,2246,400
1680,1725,402
1680,3802,169
1680,5644,372
1680,3108,315
1680,3461,225
1680,4566,193
1680,2964,179
1680,1031,177
1680,2163,259
1682,2771,173
1682,5350,315
1682,2628,400
1682,3878,157
1682,2712,315
1682,4796,315
1682,1118,328
1682,1666,315
1682,563,315
1682,3474,222
1683,1571,991
1683,3645,208
1683,1976,300
1683,2083,214
1683,3271,163
1683,1386,163
1683,4913,177
1683,1809,315
1683,5472,704
1683,3862,380
1683,2722,208
1683,1918,208
1683,2914,342
1683,4642,853
1683,1241,156
1683,2823,208
1683,4096,952
1683,1995,163
1683,3903,405
1683,2664,208
1683,1775,994
1683,3993,434
1683,3588,315
1683,3281,342
1683,3524,257
1683,5939,177
1683,4414,167
1683,5728,167
1683,1260,679
1683,5928,687
1683,2477,527
1683,2261,223
1683,4639,257
1683,3138,163
1683,5215,219
1683,4484,608
1683,843,286
1683,492,908
1683,877,219
1683,4725,257
1683,36,183
1683,1673,163
1684,4253,156
1685,1809,315
1685,150,315
1685,1386,341
1685,3310,315
1685,1062,315
1686,1218,911
1686,1928,919
1686,2600,912
1686,4110,600
1686,1766,600
1686,3858,600
1686,3319,600
1686,5306,600
1686,5084,605
1686,3377,319
1686,4579,610
1686,4465,600
1686,3531,600
1686,3291,600
1686,4503,307
1686,2297,600
1686,555,295
1686,2896,600
1686,828,944
1686,3401,208
1686,847,318
1686,5443,167
1686,1976,315
1686,3924,286
1686,384,925
1686,5679,268
1686,4959,919
1686,1967,600
1686,5264,924
1686,4193,600
1686,5950,941
1686,5230,167
1686,5779,169
1686,1326,600
1686,5850,685
1686,2117,600
1686,3908,173
1686,3872,598
1686,5854,622
1686,5316,169
1686,2489,208
1686,795,600
1687,742,156
1687,847,155
1687,5267,680
1687,2030,307
1687,3317,156
1690,3611,831
1690,1499,772
1690,4774,400
1690,4502,320
1690,2030,315
1690,4257,351
1690,3242,447
1690,1397,315
1690,2964,231
1690,5720,595
1690,3802,320
1690,1809,483
1690,3412,315
1690,2904,315
1690,2658,547
1690,1358,315
1690,819,315
1690,731,183
1690,4973,303
1690,1709,212
1690,1858,336
1690,812,315
1690,5309,315
1690,4181,188
1690,2021,485
1690,2482,609
1690,1531,227
1690,5429,736
1690,1444,217
1690,5231,359
1690,4108,185
1690,5068,415
1690,4183,629
1690,5496,218
1690,401,378
1690,48,463
1690,860,188
1691,752,222
1691,4882,412
1691,1976,315
1691,174,196
1691,3271,212
1691,1386,164
1691,5152,156
1691,3802,349
1691,289,345
1691,3262,317
1691,150,315
1691,1031,262
1691,5270,412
1691,5068,185
1691,488,374
1691,5378,389
1691,3506,292
1691,1995,170
1691,4260,333
1691,4502,185
1691,3611,585
1691,1499,185
1691,5810,315
1691,5574,444
1691,3138,159
1691,2824,226
1691,1725,262
1691,3922,645
1691,2772,374
1691,3664,578
1691,1673,404
1691,5936,223
1692,1424,151
1692,146,286
1692,1763,213
1692,4096,185
1692,1778,639
1692,5915,286
1692,5719,402
1692,4792,195
1692,960,412
1692,5310,315
1692,437,790
1692,5625,337
1692,5810,315
1692,70,307
1692,2166,391
1692,3956,400
1692,2553,274
1692,2390,151
1692,5679,315
1692,4044,288
1692,5376,266
1692,280,317
1692,4285,998
1692,5709,288
1692,2248,250
1692,5334,337
1692,3312,288
1692,5461,315
1694,1018,302
1694,1043,336
1694,695,617
1694,1110,984
1694,2802,497
1694,4458,286
1694,4063,329
1694,5461,315
1694,1753,405
1694,2625,156
1694,114,297
1694,238,297
1694,2707,278
1696,4836,928
1696,5605,414
1696,4351,602
1696,1702,495
1696,3960,294
1696,1668,462
1696,2615,286
1696,3595,994
1696,5928,295
1696,5069,928
1696,3949,996
1696,2348,286
1696,4784,331
1696,553,472
1696,1962,286
1697,587,376
1697,1007,790
1697,1976,315
1697,3878,157
1698,845,449
1698,828,483
1698,5310,483
1698,5035,469
1698,2297,360
1698,2308,155
1698,1118,315
1698,3554,680
1698,133,302
1698,3749,315
1698,4308,169
1698,3787,296
1698,4796,297
1698,1709,430
1698,2079,183
1698,3315,315
1698,744,187
1698,4186,613
1698,1872,548
1698,251,405
1698,1809,305
1698,4731,175
1698,1962,298
1698,3802,364
1698,4086,315
1698,3463,264
1698,2857,315
1698,5390,483
1698,3453,306
1698,5854,315
1698,150,315
1698,4050,483
1698,5034,349
1698,4193,315
1698,5667,685
1698,4205,465
1698,1120,315
1698,2964,290
1698,2273,267
1698,5911,315
1698,2712,448
1698,563,556
1698,1673,544
1698,1228,258
1698,36,181
1698,1724,526
1698,2785,302
1698,2825,404
1698,812,256
1698,5379,315
1698,1105,432
1698,3310,315
1698,1156,767
1698,2482,565
1698,350,515
1698,754,459
1698,1908,267
1698,3934,432
1698,2982,196
1698,5810,315
1698,4343,479
1698,1712,412
1698,2999,315
1698,3588,463
1698,1547,194
1698,1569,522
1698,5066,400
1698,5264,315
1698,5074,315
1698,3402,307
1698,3611,398
1698,3819,216
1698,4414,264
1698,5944,483
1698,4929,999
1698,3752,315
1700,4815,295
1701,4896,296
1701,2964,358
1701,2481,258
1701,3219,243
1701,1976,315
1701,2030,315
1701,214,367
1701,1338,505
1701,2851,370
1701,3553,305
1701,150,315
1701,2870,231
1701,1226,374
1701,1376,158
1701,4458,171
1701,4316,285
1701,13,470
1701,1220,465
1701,1118,248
1701,1577,365
1701,1556,285
1701,5310,315
1701,3028,315
1701,3647,153
1701,3433,222
1701,0,315
1701,5235,156
1701,3391,485
1701,1491,258
1701,3588,483
1701,18,479
1701,8,849
1701,261,218
1701,5810,315
1701,9,315
1701,4024,277
1701,5569,372
1701,14,315
1701,5554,315
1701,4317,236
1701,2341,346
1701,1307,285
1701,5851,571
1701,23,151
1701,4468,290
1702,2571,192
1702,2190,159
1702,2712,315
1702,2587,192
1702,5851,468
1702,201,286
1702,3595,671
1702,4583,315
1702,2772,315
1702,3476,161
1702,4163,209
1702,4611,452
1702,2559,188
1702,957,295
1702,5379,315
1702,3867,211
1702,3971,222
1702,1984,469
1702,2982,309
1702,2615,150
1702,1696,495
1702,4229,315
1702,238,315
1702,4639,422
1702,3588,315
1702,3524,294
1702,1776,193
1702,5310,315
1702,5463,300
1702,1062,315
1702,1880,185
1702,59,179
1702,1082,420
1702,1448,188
1702,1312,322
1702,3862,508
1702,2857,315
1702,922,381
1702,3453,223
1702,5241,246
1702,3353,195
1702,4015,277
1702,752,315
1702,156,444
1702,1976,315
1702,3010,315
1702,2964,298
1706,654,155
1706,3310,210
1706,4796,315
1706,2807,155
1706,1028,339
1706,4583,215
1706,5551,339
1706,4582,210
1706,4465,231
1706,4154,163
1706,1722,339
1706,1976,315
1706,3010,315
1706,5572,780
1706,5850,175
1706,1026,211
1706,3588,315
1706,4619,155
1706,150,315
1706,238,215
1706,5864,155
1707,150,315
1707,1809,315
1707,912,307
1707,3310,315
1708,2715,363
1708,2999,483
1708,1042,288
1708,5158,315
1708,4796,315
1708,5094,240
1708,1588,315
1708,1880,381
1708,2938,270
1708,3596,485
1708,957,315
1708,2623,442
1708,2523,246
1708,1976,315
1708,2227,440
1708,4728,319
1708,1095,286
1708,4899,315
1708,2429,315
1708,5615,156
1708,1719,286
1708,2052,410
1709,4418,313
1709,516,891
1709,1027,720
1709,3443,207
1709,2622,300
1709,4502,433
1709,2369,900
1709,5109,211
1709,5517,728
1709,3402,333
1709,3611,597
1709,1499,999
1709,3588,303
1709,4395,720
1709,2020,303
1709,1698,430
1709,1567,299
1709,150,315
1709,3265,295
1709,2429,707
1709,2004,355
1709,4731,175
1709,4296,173
1709,3802,483
1709,1962,207
1709,2577,540
1709,4008,900
1709,1825,286
1709,3772,177
1709,4106,369
1709,2408,900
1709,1690,212
1709,3373,900
1709,204,179
1709,1304,207
1709,843,619
1709,3414,295
1709,3896,540
1709,5257,169
1709,3822,208
1709,5379,315
1709,2808,900
1709,2819,935
1709,4510,241
1709,5231,315
1709,2494,302
1709,5068,563
1709,1718,900
1709,1354,303
1709,4190,720
1709,5822,720
1709,2741,300
1709,679,720
1710,563,315
1710,3588,315
1710,1953,175
1710,38,196
1710,4796,315
1710,3715,175
1710,1976,315
1710,5015,156
1710,2273,315
1710,150,315
1711,5463,208
1711,3481,635
1711,2104,268
1711,5068,150
1711,2045,493
1711,3349,582
1711,646,549
1711,4007,268
1711,4299,650
1711,1320,243
1711,3453,280
1711,2857,315
1711,1586,364
1711,1363,332
1711,3802,150
1711,1103,419
1711,3517,482
1711,694,419
1711,5460,191
1711,1843,487
1711,5143,170
1711,3170,203
1711,36,277
1711,412,181
1711,4582,368
1711,3474,497
1711,4510,192
1711,4583,843
1711,1971,217
1711,671,272
1711,730,264
1711,2712,322
1711,3767,268
1711,4715,364
1711,2994,269
1711,2167,450
1711,2087,176
1711,1105,945
1711,1761,197
1711,1156,286
1711,5004,187
1711,5173,197
1711,5787,222
1711,4030,391
1711,342,900
1711,2999,208
1711,2254,187
1711,1012,232
1711,737,268
1711,1758,269
1711,1727,231
1711,3588,315
1711,1499,150
1711,3611,150
1711,4502,150
1711,1568,268
1711,318,202
1711,3504,269
1711,4579,268
1711,2802,605
1711,2102,926
1711,2297,417
1711,2060,268
1711,5782,268
1711,405,350
1711,3723,288
1711,5100,597
1711,2156,268
1711,4985,177
1711,1120,515
1711,2227,618
1711,3010,315
1711,2336,217
1711,332,217
1711,2431,268
1711,459,194
1711,296,268
1711,371,373
1711,139,382
1711,2357,365
1711,5833,493
1711,3310,549
1711,52,540
1711,4229,305
1711,5810,315
1711,91,286
1711,4418,274
1711,5950,225
1711,5230,426
1711,5392,605
1711,4303,463
1711,828,491
1711,1516,597
1711,3960,173
1711,2752,161
1711,4899,549
1711,2363,984
1711,1880,807
1711,5048,203
1711,4958,608
1711,2860,269
1711,974,268
1711,5316,583
1711,343,216
1711,5818,419
1711,1967,934
1711,2938,268
1711,1917,224
1711,746,150
1711,5850,365
1711,4869,493
1711,1593,294
1711,629,268
1711,364,315
1711,2716,364
1711,651,192
1711,1121,170
1711,1075,268
1711,5704,450
1711,1094,930
1711,2328,161
1711,4960,349
1711,238,963
1711,5397,444
1711,5227,268
1711,4833,203
1711,1721,203
1711,4261,295
1711,2974,298
1711,3654,456
1711,5443,426
1711,1413,238
1711,5237,533
1711,5517,243
1711,5779,237
1711,4452,928
1711,1074,926
1711,3058,487
1711,4271,178
1711,90,216
1711,1776,603
1711,1866,272
1711,4556,333
1711,5470,253
1711,5022,264
1711,3501,452
1711,4638,506
1711,4086,315
1711,5158,807
1711,2715,856
1711,4135,173
1711,3219,320
1711,611,269
1711,1026,446
1711,5034,373
1711,4352,645
1711,4572,417
1711,695,409
1711,1342,399
1711,4363,269
1711,4465,932
1711,4177,268
1711,5350,536
1711,201,286
1711,5743,928
1711,1844,246
1711,4808,303
1711,843,333
1711,3934,280
1711,5379,463
1711,2965,315
1711,720,295
1711,4265,268
1711,4888,495
1711,506,564
1711,1925,900
1711,330,187
1711,5440,540
1711,3950,315
1711,4410,268
1711,3226,268
1711,516,589
1711,1326,932
1711,5103,928
1711,5572,448
1711,5264,312
1711,4675,275
1711,3948,320
1712,4213,389
1712,4994,600
1712,1927,315
1712,342,315
1712,1033,361
1712,3878,315
1712,3441,286
1712,5074,315
1712,3993,304
1712,1367,191
1712,739,532
1712,2747,611
1712,3825,600
1712,3588,545
1712,2254,315
1712,2712,195
1712,4996,396
1712,3707,203
1712,4510,152
1712,4111,191
1712,2772,286
1712,2825,593
1712,36,183
1712,1674,169
1712,3005,315
1712,2667,165
1712,3070,600
1712,1105,315
1712,812,495
1712,307,776
1712,1838,185
1712,877,701
1712,2757,209
1712,1363,495
1712,3802,177
1712,2934,211
1712,141,589
1712,5160,179
1712,3453,185
1712,150,368
1712,2857,315
1712,5192,407
1712,1571,175
1712,2030,456
1712,4050,384
1712,3222,632
1712,5609,675
1712,5794,191
1712,3924,305
1712,2273,994
1712,1739,527
1712,313,315
1712,3517,189
1712,5455,213
1712,1565,683
1712,5667,883
1712,5035,315
1712,5621,151
1712,5068,390
1712,5463,714
1712,2799,286
1712,3317,297
1712,5673,248
1712,4458,717
1712,1974,210
1712,1875,456
1712,200,239
1712,441,162
1712,2381,173
1712,2136,600
1712,2419,600
1712,2615,179
1712,5810,496
1712,3420,296
1712,5363,163
1712,261,181
1712,5230,161
1712,5890,845
1712,5727,179
1712,5728,533
1712,4414,370
1712,990,306
1712,4373,737
1712,4916,416
1712,2909,205
1712,893,432
1712,193,183
1712,2268,642
1712,4611,356
1712,3528,922
1712,4214,252
1712,3426,319
1712,5164,492
1712,1651,630
1712,1018,152
1712,2257,171
1712,2145,220
1712,2357,186
1712,39,736
1712,2718,179
1712,1908,997
1712,1904,355
1712,1263,325
1712,3687,622
1712,33,600
1712,922,215
1712,5390,325
1712,3526,610
1712,4193,161
1712,2661,390
1712,4288,433
1712,861,206
1712,898,355
1712,1679,612
1712,1386,365
1712,2227,179
1712,3895,643
1712,2964,508
1712,5461,315
1712,4119,600
1712,2025,334
1712,3110,600
1712,4579,175
1712,4157,183
1712,4574,198
1712,2683,189
1712,335,315
1712,4660,527
1712,4665,602
1712,2165,483
1712,907,162
1712,5844,388
1712,1122,315
1712,1376,600
1712,3568,251
1712,5507,315
1712,4849,315
1712,5104,448
1712,4343,439
1712,5658,767
1712,4275,315
1712,2289,980
1712,4686,315
1712,1698,412
1712,1569,678
1712,1591,809
1712,1134,806
1712,4929,558
1712,3752,399
1712,4537,716
1712,5443,414
1712,4681,167
1712,2509,309
1712,2986,203
1712,1723,165
1712,1123,662
1712,263,234
1712,364,274
1712,1724,525
1712,3024,815
1712,4960,226
1712,5952,315
1712,2735,400
1712,5600,289
1712,343,363
1712,5315,589
1712,1660,306
1712,5668,191
1712,2302,211
1712,3864,612
1712,2389,173
1712,2348,179
1712,3964,315
1712,5850,161
1712,1976,718
1712,5679,508
1712,1719,265
1712,1967,359
1712,1989,195
1712,5313,768
1712,5231,572
1712,5310,595
1712,5094,999
1712,107,179
1712,4573,356
1712,4486,600
1712,1614,177
1712,4088,315
1712,4142,344
1712,3950,315
1712,5928,246
1712,4295,179
1712,5922,286
1712,3948,559
1712,460,645
1712,950,579
1712,3280,208
1712,2361,373
1712,2182,241
1712,23,430
1712,3288,964
1712,4468,284
1712,1444,268
1712,4511,252
1712,642,165
1712,4792,412
1712,5350,315
1712,2827,600
1712,563,852
1712,1319,436
1712,3496,527
1712,1595,222
1712,5379,463
1712,411,630
1712,3275,315
1712,350,576
1712,50,199
1712,3007,483
1712,1809,493
1712,2715,162
1712,2040,612
1712,1101,992
1712,3641,598
1712,4568,548
1712,4352,908
1712,680,556
1712,5030,357
1712,3219,315
1712,4930,581
1712,847,900
1712,3712,299
1712,1776,167
1712,4556,401
1712,2441,315
1712,1652,183
1712,3565,600
1712,1062,315
1712,465,416
1712,3315,315
1712,4796,565
1712,2698,153
1712,4308,968
1712,4370,633
1712,4069,185
1712,579,525
1712,2041,600
1712,1950,840
1712,2427,315
1712,1441,857
1712,1308,173
1712,4019,600
1712,75,286
1715,4751,155
1715,4656,295
1715,2597,279
1715,3723,403
1715,2239,315
1715,5517,288
1717,132,208
1717,1485,173
1717,5779,185
1717,5264,192
1717,4504,185
1717,3588,463
1717,3813,208
1717,1442,173
1717,438,183
1717,3292,208
1717,4497,173
1717,877,171
1717,1155,282
1717,2909,650
1717,606,191
1717,1976,331
1717,71,185
1717,3779,179
1717,3333,175
1717,632,239
1717,1616,650
1717,5241,192
1717,2851,163
1717,1859,173
1717,2291,650
1717,433,196
1717,479,179
1717,5316,185
1717,1312,192
1717,3790,185
1717,1082,182
1717,612,216
1717,2165,191
1717,5839,196
1717,1518,185
1717,3287,400
1718,4959,948
1718,2974,248
1718,5443,656
1718,2434,508
1718,5442,600
1718,4418,532
1718,2117,973
1718,1326,600
1718,5237,600
1718,4614,627
1718,3396,900
1718,464,600
1718,5264,973
1718,5779,657
1718,5230,175
1718,5517,720
1718,3402,151
1718,5950,973
1718,1499,928
1718,2214,800
1718,506,600
1718,3609,600
1718,5896,266
1718,4833,641
1718,4343,467
1718,2577,540
1718,1094,600
1718,4886,800
1718,1351,244
1718,3674,187
1718,1766,600
1718,3709,800
1718,2357,181
1718,5084,600
1718,3165,653
1718,3858,600
1718,1009,999
1718,1831,296
1718,5164,315
1718,3319,973
1718,4465,600
1718,4656,600
1718,1907,541
1718,423,800
1718,679,720
1718,4190,720
1718,3010,315
1718,1967,600
1718,2227,600
1718,871,467
1718,3401,187
1718,1027,720
1718,976,169
1718,384,973
1718,5448,244
1718,1976,315
1718,5794,981
1718,5850,973
1718,4395,786
1718,4193,600
1718,3170,641
1718,2369,954
1718,1264,494
